customer_id,calls_made,sms_sent,data_used,churn
66226,49,5,7330,1
213723,57,51,5364,1
138553,87,26,9668,1
231789,82,6,6753,1
5781,48,28,8767,1
160007,14,31,7493,1
120828,76,3,3075,1
49844,84,21,813,1
217904,81,42,5918,1
190527,73,42,6658,1
20187,73,44,7186,1
39936,73,38,3225,1
110779,37,8,5087,1
10407,-3,51,8398,1
224380,11,5,9255,1
104729,67,52,6233,1
122589,74,52,5842,1
32070,44,1,5060,1
14681,47,27,6415,1
123547,49,48,4264,1
119728,43,46,3421,1
99961,38,23,4359,1
238459,71,8,4103,1
72419,67,31,8393,1
136798,79,25,9187,1
126196,99,7,5298,1
204621,41,32,8422,1
28298,82,4,4359,1
200971,105,11,3029,1
185374,33,36,4833,1
18830,93,17,9387,1
115082,81,44,7303,1
233027,62,14,6050,1
24854,90,21,6500,1
51952,73,17,8583,1
57364,72,43,-31,1
170388,53,46,2510,1
92958,97,6,8006,1
191980,64,41,1589,1
66512,83,31,8147,1
146592,67,37,6262,1
233770,24,14,1496,1
179905,96,39,10573,1
56423,88,28,2068,1
83380,67,5,5872,1
207639,73,19,8999,1
46299,90,13,102,1
190611,91,47,8618,1
31929,47,34,8096,1
116840,26,24,1632,1
85437,52,41,2324,1
206684,30,40,4252,1
123405,24,24,1468,1
140440,61,7,7585,1
170272,74,43,1645,1
238383,13,53,7612,1
125946,47,24,8444,1
1306,36,-2,8991,1
35776,37,32,3983,1
234743,30,29,71,1
200379,79,38,-264,1
7316,81,18,8232,1
103908,44,30,301,1
484,53,33,1563,1
48874,85,31,7392,1
195399,77,15,2932,1
172591,74,9,10378,1
22829,90,49,2504,1
82005,-4,6,1930,1
23711,11,43,6566,1
159927,-5,12,5517,1
67029,83,42,2212,1
77747,9,39,9500,1
157551,16,12,1679,1
47558,50,30,1520,1
135015,-2,22,5457,1
213546,93,46,1211,1
82415,59,13,7036,1
133490,8,10,8972,1
213885,11,14,1867,1
150662,53,37,1919,1
5906,19,38,1768,1
177414,87,3,2934,1
159790,43,31,6677,1
133638,49,46,3401,1
92140,35,4,1807,1
85157,94,7,468,1
120246,98,37,659,1
15646,77,46,1644,1
156019,6,14,6620,1
218185,33,9,-530,1
227068,87,37,9802,1
46011,40,12,629,1
41896,68,30,5269,1
183501,59,30,2951,1
102214,8,47,5294,1
25144,79,40,-406,1
17915,53,22,2479,1
239916,13,3,6746,1
235723,17,47,8670,1
187095,63,44,912,1
214763,14,23,1411,1
32255,38,7,4637,1
240701,39,21,5154,1
39837,99,33,6647,1
86357,5,5,8394,1
3017,6,44,1997,1
43077,10,6,3844,1
237527,12,50,9065,1
233924,79,37,9836,1
142742,8,39,3495,1
39924,51,2,5814,1
14142,34,42,9380,1
152853,26,45,78,1
88842,21,33,1320,1
37860,62,23,3077,1
179092,33,6,9433,1
56183,2,11,7181,1
172386,14,14,4515,1
220138,-5,25,5867,1
226496,55,43,6891,1
206709,6,14,8760,1
48945,13,16,1278,1
97726,78,51,7889,1
73316,12,18,10334,1
178647,79,29,887,1
124850,70,34,7544,1
177432,45,37,4491,1
190782,12,19,1543,1
167236,83,0,2244,1
23645,17,27,9286,1
17470,89,18,-425,1
188456,62,35,7765,1
173710,60,-1,2533,1
105088,41,30,6937,1
13955,83,18,8209,1
223724,67,10,7613,1
181274,-1,25,8404,1
67146,17,26,4271,1
195025,57,17,5765,1
52443,66,45,4097,1
7615,91,52,1657,1
160085,5,34,8539,1
136750,22,1,6864,1
53432,10,5,10421,1
112195,74,20,6501,1
99846,81,9,9051,1
51576,35,32,7085,1
14626,38,50,3266,1
20336,28,25,6741,1
139416,85,2,3885,1
147020,79,53,8000,1
46265,9,8,6223,1
186152,57,18,1048,1
38788,101,34,4901,1
156259,64,27,1363,1
15344,101,13,2733,1
88441,46,27,4638,1
210369,31,15,4285,1
2314,54,14,3535,1
137170,94,40,8306,1
232691,60,12,1689,1
205122,16,3,3203,1
50638,10,21,4682,1
141838,98,3,4255,1
73635,19,29,3419,1
131245,76,12,1046,1
128302,28,6,1330,1
36134,30,25,7160,1
194249,15,34,315,1
156042,56,28,359,1
96962,13,13,5954,1
144113,55,12,482,1
111898,13,40,5074,1
165767,55,6,10516,1
242925,24,45,7447,1
91717,102,49,1940,1
129406,55,39,1715,1
104745,28,18,-87,1
148817,72,37,2587,1
181438,1,40,5415,1
177595,90,20,9203,1
43152,13,12,2630,1
179079,101,15,3623,1
182877,77,3,4088,1
146465,21,27,1489,1
235327,77,27,4847,1
170376,57,25,4796,1
242017,106,29,7430,1
4219,50,36,4835,1
176363,69,30,7781,1
90780,41,47,4777,1
80097,90,31,3489,1
234121,9,12,8771,1
57176,76,10,8379,1
121420,33,38,6194,1
233211,17,3,4803,1
44988,46,17,892,1
183587,14,14,8982,1
205775,61,38,9278,1
9695,70,44,7428,1
116730,86,38,1104,1
56850,88,46,2072,1
135408,29,17,3041,1
89168,93,27,6052,1
9491,96,26,-855,1
156845,62,20,2539,1
26287,32,20,7275,1
42919,40,40,2471,1
204282,75,6,3243,1
65860,92,-1,3490,1
237920,41,31,8926,1
173062,76,20,1378,1
215831,60,9,7042,1
128251,54,40,2441,1
80387,91,33,9718,1
185892,45,34,5120,1
63525,32,30,5918,1
103164,48,-2,6369,1
19390,93,-2,7651,1
185772,100,6,8447,1
184537,20,-1,8474,1
185588,64,47,3219,1
94562,65,37,8941,1
85264,42,46,656,1
132906,93,26,8844,1
132984,39,40,2521,1
205587,98,5,10259,1
45924,43,40,5056,1
196024,24,11,4581,1
121971,9,36,7046,1
69173,1,46,6618,1
68342,48,41,3452,1
79435,48,1,9761,1
24033,14,7,945,1
94260,92,4,6841,1
131778,61,20,3787,1
241612,83,14,2468,1
130157,91,13,2240,1
207661,80,3,7866,1
69363,70,31,6371,1
44756,49,38,8531,1
194329,87,14,10052,1
181407,39,52,2004,1
64332,98,13,8638,1
36489,23,5,3327,1
126202,100,45,5620,1
234829,53,41,8024,1
52095,49,27,4861,1
177263,79,20,4903,1
165992,60,3,1290,1
170661,-9,42,5092,1
13400,103,17,224,1
74368,47,13,5923,1
173543,64,42,1150,1
91174,68,23,5488,1
192439,34,18,744,1
14360,67,15,8026,1
229874,101,6,6677,1
102182,71,21,7437,1
105741,1,23,1873,1
144030,89,10,6520,1
91745,36,37,3946,1
14050,75,52,4934,1
237703,50,2,6166,1
167044,63,23,5159,1
464,44,21,7605,1
80466,70,27,8936,1
188846,10,6,5271,1
201084,35,18,8853,1
48264,9,29,5489,1
21785,66,28,1401,1
237136,64,1,6632,1
185008,94,7,3417,1
181235,81,52,8166,1
203799,59,-4,4407,1
128569,33,18,5968,1
90590,98,32,8763,1
179414,24,8,1137,1
168397,37,-2,5182,1
172019,70,17,6067,1
99618,86,40,1877,1
239752,73,45,1533,1
186044,83,3,4863,1
158790,13,3,8216,1
181415,52,19,8567,1
45198,15,41,326,1
33076,11,29,4523,1
120282,14,26,4027,1
77931,100,5,1241,1
35690,86,3,3614,1
83811,82,4,3204,1
11143,90,23,6465,1
110838,35,47,3500,1
117312,38,3,9307,1
125939,75,11,6624,1
160275,74,14,2597,1
209802,88,40,1055,1
105310,51,21,2244,1
201838,66,4,1863,1
56317,-2,39,6537,1
174773,-3,47,6842,1
149170,82,26,2344,1
81900,65,43,2142,1
212552,61,4,1196,1
195427,92,3,9402,1
1628,4,6,4783,1
8012,21,12,9010,1
155259,0,18,2777,1
159623,77,16,4893,1
52453,40,27,6005,1
142901,65,19,4963,1
98058,74,46,8774,1
191500,101,31,5162,1
59060,67,33,9854,1
60764,79,29,1868,1
200679,50,40,8592,1
200241,47,24,7302,1
116511,84,35,3429,1
25130,15,30,-146,1
62159,91,24,5200,1
77299,37,6,6411,1
221648,62,29,30,1
123676,8,10,6507,1
152044,29,2,8396,1
78063,27,4,762,1
75806,5,39,3680,1
162467,100,6,2998,1
53151,1,37,2873,1
238674,48,29,5242,1
102710,60,2,1731,1
110343,83,33,4965,1
189713,-10,28,1403,1
32991,96,28,2708,1
142550,76,13,5621,1
98569,46,40,6366,1
125082,32,20,731,1
168806,27,7,4353,1
243411,38,10,10187,1
162923,94,39,655,1
144826,28,40,5321,1
88688,77,8,3224,1
240547,86,4,6842,1
38701,31,35,5367,1
237003,48,3,6469,1
39453,16,33,5762,1
62680,62,17,1791,1
45550,40,25,5074,1
151115,77,25,7637,1
21788,33,2,5003,1
129715,38,26,3716,1
237166,35,3,6715,1
37173,36,15,6931,1
16155,42,13,8998,1
137242,31,18,6626,1
3751,28,27,7040,1
66126,28,25,138,1
143241,68,25,484,1
75790,39,9,9092,1
181934,26,9,4942,1
141992,17,25,8203,1
195232,75,23,5582,1
73285,49,27,864,1
137462,65,21,506,1
124712,37,34,5465,1
63130,1,23,-548,1
4349,-6,8,6811,1
141688,8,38,6135,1
4461,72,48,3123,1
137014,46,27,1766,1
72348,98,5,8848,1
226984,28,42,9868,1
135655,14,-1,6596,1
82191,15,6,3905,1
76240,4,44,8806,1
155505,6,-1,9858,1
180682,8,17,2030,1
91091,0,6,105,1
139368,44,40,2284,1
29358,87,29,7679,1
129660,83,26,6315,1
104730,80,8,5168,1
93472,73,10,8793,1
102686,32,1,5081,1
72697,78,13,7964,1
55223,77,15,5823,1
8890,84,5,3369,1
117844,33,31,2057,1
142081,75,3,5727,1
162798,40,12,7167,1
27776,19,22,9707,1
34660,45,12,8773,1
205332,32,42,6183,1
128102,78,22,6862,1
114408,13,23,3413,1
193910,86,15,3769,1
25098,41,5,2249,1
58859,4,47,1848,1
96509,59,30,4886,1
41516,-8,36,7239,1
15269,102,43,980,1
42477,8,23,9346,1
153162,78,11,5625,1
238746,52,35,5338,1
128927,70,24,-104,1
113314,36,0,5677,1
75380,27,25,-4,1
7688,77,44,2008,1
61747,58,37,8537,1
164774,44,37,384,1
213878,73,15,4787,1
84623,86,31,8563,1
33099,61,44,5093,1
236113,88,42,7621,1
125458,66,18,989,1
170451,58,10,7965,1
12208,21,48,1254,1
210053,-4,36,988,1
131215,8,35,9145,1
127978,74,7,8054,1
94104,56,38,2777,1
182673,31,32,-32,1
214596,5,23,8487,1
207194,81,21,3623,1
93554,26,11,-244,1
176223,64,9,3528,1
107882,71,34,2105,1
11653,20,24,6624,1
195205,24,20,1778,1
27651,42,31,3369,1
213285,21,33,5916,1
62014,3,24,2937,1
28176,17,38,7423,1
234210,24,7,4388,1
194527,60,30,6108,1
201211,71,49,6535,1
21080,65,37,1442,1
167657,39,25,5587,1
241365,77,39,7968,1
123696,96,49,5323,1
103245,11,9,3815,1
214277,14,48,1520,1
64884,36,19,9285,1
146108,64,36,7894,1
196772,19,4,1732,1
1802,88,36,8333,1
1985,14,46,4322,1
121074,42,47,4441,1
203689,64,-1,7285,1
163450,10,41,2354,1
131526,68,4,3700,1
5722,97,43,4113,1
161987,47,41,3734,1
113404,44,43,2167,1
208990,-1,42,3445,1
196740,87,43,2083,1
149593,28,47,6973,1
83755,67,5,1577,1
153989,86,26,92,1
89220,81,29,9965,1
200602,65,10,6098,1
23228,66,15,5397,1
120953,88,3,8005,1
11600,70,38,7396,1
108973,91,6,7801,1
166874,9,1,2386,1
218947,5,21,4105,1
16751,23,4,7758,1
190454,56,39,6047,1
169488,69,25,6012,1
195400,55,7,3869,1
225268,24,43,1693,1
152018,65,21,7239,1
146901,67,35,1059,1
1559,32,42,-651,1
133236,82,13,1069,1
163713,45,40,7007,1
68565,42,38,5726,1
103898,79,43,4894,1
103503,93,26,3274,1
157330,87,7,1672,1
4863,60,4,8568,1
77280,78,33,-66,1
97048,102,6,2472,1
23617,14,37,6348,1
189403,23,35,2065,1
110005,67,40,1155,1
226031,57,17,3630,1
73485,103,1,2234,1
219922,8,28,4523,1
121342,87,47,8082,1
45520,90,43,1043,1
114069,89,42,7453,1
47034,86,15,6624,1
80721,79,10,7481,1
128462,92,14,9412,1
197025,57,2,2646,1
182433,85,15,6958,1
175119,82,12,4845,1
89847,44,45,7178,1
179926,90,4,3742,1
237935,87,39,-132,1
200949,68,12,-597,1
184625,80,22,2078,1
205640,35,17,2384,1
27335,36,40,3865,1
224535,71,29,8834,1
48106,66,41,987,1
158889,56,35,6981,1
163189,6,17,6147,1
123984,36,24,7221,1
24654,28,44,5632,1
143103,79,31,3013,1
12435,50,34,9574,1
53150,16,51,8865,1
94865,92,33,3419,1
218435,61,13,1709,1
214373,96,33,4021,1
84662,60,46,7075,1
88015,74,15,8308,1
154786,58,6,433,1
51333,75,39,2581,1
80442,10,43,2007,1
70046,82,28,71,1
118155,18,3,7525,1
14774,87,51,9259,1
185954,9,10,8521,1
177318,90,20,5490,1
211824,-4,0,2295,1
105689,16,6,8865,1
62151,84,1,1552,1
149991,53,38,9472,1
67522,7,9,7205,1
45658,24,9,8068,1
147516,1,11,250,1
82546,54,37,7275,1
54755,5,8,5645,1
51756,29,0,10336,1
146709,79,39,4161,1
47652,44,43,626,1
168239,22,12,7896,1
201514,60,14,1990,1
18595,54,44,1313,1
73029,6,9,2572,1
87827,40,-1,9845,1
199042,-5,44,2512,1
63070,54,34,9256,1
79731,65,21,9979,1
1226,23,39,6401,1
143409,100,46,8293,1
64783,48,29,3983,1
82394,42,41,7202,1
188735,83,40,8507,1
238341,64,5,936,1
188856,32,1,7239,1
73333,103,13,8846,1
57750,90,18,2748,1
65803,68,45,10110,1
156480,4,14,4557,1
242382,41,31,4565,1
53777,88,13,4228,1
42392,33,45,7784,1
219861,86,13,3944,1
3419,14,1,6094,1
88537,15,43,2908,1
131309,43,6,8917,1
129352,45,42,7264,1
16428,34,37,2234,1
227528,50,52,4376,1
36001,54,30,7876,1
210070,-9,44,8629,1
103721,94,40,6610,1
98907,91,18,1640,1
8736,53,20,1057,1
136157,46,47,7435,1
22423,48,28,2267,1
116041,85,22,2920,1
234945,88,4,4462,1
66975,33,1,150,1
92301,90,45,4654,1
161392,73,1,9113,1
72369,86,0,8135,1
7887,0,50,3293,1
216328,94,6,8206,1
71877,18,13,5787,1
7901,28,7,1945,1
171277,65,10,9387,1
124151,92,27,1389,1
49314,57,31,3345,1
183645,20,32,4635,1
168571,53,-1,9129,1
59716,27,45,4268,1
16707,30,44,2647,1
32959,85,34,4647,1
126993,20,2,7742,1
231084,19,16,7996,1
53175,70,36,10068,1
99230,32,39,2935,1
131938,71,44,4684,1
41374,87,37,5002,1
229904,3,44,4461,1
142936,29,17,4571,1
146780,36,20,6494,1
139610,47,28,5298,1
16844,86,2,6114,1
215968,40,-4,6026,1
151983,66,16,1262,1
9153,28,8,5766,1
56881,55,40,3376,1
193317,66,12,8103,1
42596,59,14,3767,1
234375,56,31,7827,1
5752,64,28,4254,1
195841,99,24,2606,1
231150,38,40,3954,1
92900,55,32,8028,1
219906,99,-1,-202,1
36032,61,36,5360,1
34298,75,-1,7065,1
209225,44,2,7804,1
100327,6,28,5874,1
206909,24,18,2147,1
17162,-3,5,5438,1
7047,100,7,7027,1
107826,30,36,3556,1
60923,28,24,8922,1
211918,26,46,1047,1
152092,68,44,3752,1
80706,31,34,3775,1
213799,94,39,2476,1
95046,38,28,10119,1
77715,33,15,2176,1
111748,61,1,10446,1
41881,94,48,8482,1
6273,57,16,6484,1
84972,5,14,4417,1
102481,77,12,1827,1
9863,24,-1,813,1
148114,17,49,1190,1
16782,15,-2,8479,1
164521,63,22,1513,1
56287,73,12,7308,1
36665,32,35,8653,1
178176,59,45,8618,1
137985,57,9,1862,1
78418,60,45,5523,1
203034,38,39,7899,1
62774,26,22,6188,1
219478,99,7,9698,1
106910,4,7,9840,1
1671,24,13,8431,1
208534,31,7,6786,1
216767,104,21,2508,1
191856,82,28,4511,1
172682,8,36,9090,1
228078,97,8,7616,1
75878,83,8,7919,1
26327,39,30,8759,1
181057,26,40,9960,1
69596,8,25,341,1
234443,54,34,6798,1
24327,42,22,385,1
51695,22,30,865,1
24356,32,9,8395,1
120064,11,9,1854,1
151683,47,42,1915,1
238581,68,45,4734,1
22022,71,16,8387,1
78171,72,8,7981,1
138169,93,7,8749,1
233411,12,50,5652,1
86399,1,36,5463,1
217118,83,43,7707,1
186837,44,43,9578,1
134116,77,28,9506,1
153528,61,41,9598,1
81398,89,2,6286,1
152108,34,28,1700,1
2567,1,27,3014,1
123774,77,11,56,1
46126,89,21,2799,1
232350,84,16,7628,1
3332,41,19,280,1
153597,7,21,2783,1
178233,14,8,8449,1
199396,37,31,8130,1
102689,92,25,4466,1
214901,31,16,9197,1
151782,68,24,3771,1
220615,28,15,2834,1
3918,71,28,4101,1
242989,25,43,8485,1
142268,57,48,2794,1
111385,42,16,95,1
125230,49,16,8093,1
161948,61,7,7677,1
128052,-1,6,2155,1
173886,-7,12,8085,1
220875,77,40,7669,1
80375,80,29,-437,1
19383,65,45,9386,1
18522,46,18,1735,1
189600,88,35,1532,1
111706,10,25,-155,1
83448,88,5,3780,1
147318,96,50,9190,1
198409,3,5,3753,1
65608,70,19,4319,1
111515,16,16,5564,1
32928,90,14,4240,1
15789,100,20,4865,1
242308,49,16,8215,1
192312,63,5,5210,1
161569,79,6,1875,1
55962,25,22,1174,1
105299,106,40,2705,1
101795,18,21,850,1
83612,55,11,8347,1
242178,23,33,6789,1
204756,19,6,8475,1
231112,97,27,8902,1
86191,2,9,5246,1
96726,81,22,5027,1
46778,23,12,5336,1
217692,47,30,7274,1
103514,64,31,6973,1
151379,91,30,-96,1
172387,47,39,1475,1
88518,64,13,7407,1
78169,38,49,2074,1
205123,23,27,4100,1
207489,55,20,3340,1
108272,-10,6,10610,1
207674,30,21,1568,1
58999,82,44,8972,1
25789,41,2,3314,1
179489,2,39,8046,1
163638,46,2,3763,1
30479,55,14,6359,1
50786,38,36,4629,1
64296,39,28,7739,1
51378,34,5,7878,1
135175,3,12,6383,1
183985,103,28,8559,1
63416,38,43,8526,1
76462,95,15,355,1
142091,7,23,7109,1
101531,73,35,2201,1
173994,66,2,2835,1
148450,34,22,1379,1
10040,83,25,8188,1
25787,31,39,1595,1
32420,67,46,7951,1
47256,43,47,9306,1
184557,66,27,1295,1
125948,39,40,877,1
34527,31,10,6251,1
97454,20,17,9418,1
202819,26,27,8978,1
52220,10,10,8892,1
61502,0,27,8954,1
167435,52,32,7976,1
110452,56,13,8289,1
131927,102,39,5457,1
191752,75,51,5661,1
50523,75,5,9062,1
227983,5,38,7882,1
166738,-3,15,6902,1
54873,20,2,3980,1
14962,65,20,1304,1
152354,30,2,2348,1
32609,92,32,8270,1
201146,18,19,7986,1
150539,51,16,5179,1
58557,42,11,1166,1
85640,-3,2,10255,1
23971,-6,24,7604,1
3689,61,0,1415,1
198688,13,34,3448,1
231845,28,36,4456,1
214755,12,0,9278,1
89535,21,12,8522,1
58838,8,12,422,1
223672,61,45,8350,1
177260,90,20,5212,1
42155,56,4,9526,1
54800,74,38,6055,1
46941,47,43,9174,1
9284,88,24,3344,1
145374,76,9,2337,1
115487,9,46,10306,1
238366,67,9,6839,1
104739,18,50,3271,1
190981,5,-1,6527,1
236845,85,7,4723,1
206230,70,0,-366,1
136581,5,9,4804,1
163271,44,41,5331,1
112694,27,47,934,1
97694,65,44,2555,1
185205,57,34,7850,1
34809,28,29,4324,1
55318,92,38,461,1
39245,55,38,924,1
139594,14,35,1217,1
152797,56,30,2511,1
60406,18,15,1983,1
4706,22,25,1359,1
33770,70,34,8362,1
172834,24,31,9521,1
39216,42,32,8402,1
180446,67,46,6514,1
144099,48,39,6136,1
150711,10,32,4662,1
94747,93,43,5154,1
122917,63,24,7998,1
135134,25,0,5273,1
92304,17,20,7831,1
188052,85,36,3409,1
119183,80,8,4052,1
132332,63,22,9044,1
21738,2,29,1488,1
101731,52,33,4102,1
190879,76,13,9413,1
3084,97,27,251,1
151991,74,50,7453,1
151873,75,18,10299,1
131537,13,45,1057,1
213688,53,12,1998,1
182110,67,30,712,1
24428,74,-3,2793,1
198465,88,48,9132,1
126819,66,1,1780,1
43265,84,11,7312,1
232482,39,48,7802,1
126800,72,25,4361,1
120630,22,46,5657,1
71013,96,28,3721,1
123824,50,43,753,1
184462,34,20,3732,1
121427,18,27,1067,1
167653,66,16,8656,1
133075,8,40,2096,1
237695,24,2,7977,1
228581,25,3,4404,1
85984,37,24,1230,1
65718,82,23,4651,1
88921,25,6,1262,1
12070,46,44,7369,1
132883,79,39,-728,1
68374,-4,12,-434,1
108750,39,29,3765,1
124028,57,4,2205,1
32900,45,9,2686,1
48940,85,38,3898,1
87588,11,2,5913,1
226880,7,46,7839,1
199152,-5,29,2595,1
14595,89,21,3684,1
56395,96,2,7613,1
127772,48,4,5521,1
214322,43,26,8695,1
26805,40,19,948,1
183130,62,29,289,1
93097,11,9,4698,1
243426,44,16,1531,1
129780,76,-4,6784,1
142524,-2,12,5395,1
100358,26,41,1998,1
206061,93,43,5828,1
234510,36,44,3279,1
229665,47,45,8667,1
195610,7,-3,9473,1
77769,-9,18,-628,1
30580,61,14,6331,1
218133,14,32,2060,1
45651,92,42,8336,1
31137,67,30,5592,1
120400,56,3,3154,1
125567,77,38,3970,1
174954,33,27,7015,1
20986,14,34,60,1
220444,83,45,8481,1
152810,51,41,9414,1
202726,63,38,64,1
64537,79,36,9379,1
26627,-9,7,9349,1
62375,86,6,4632,1
141255,75,23,5299,1
61905,27,35,2111,1
16394,16,20,4714,1
85978,6,41,3443,1
126431,71,37,5715,1
25809,95,18,3636,1
147569,79,34,9775,1
46886,65,23,3570,1
9564,28,8,1733,1
75223,98,17,-674,1
62880,41,19,1967,1
101805,38,50,4514,1
215989,80,13,7465,1
112873,66,6,2868,1
93032,50,42,384,1
45332,92,5,6064,1
22288,88,34,1656,1
222255,46,22,5664,1
204827,63,41,7076,1
215385,91,11,4136,1
161933,28,26,1131,1
217942,11,8,7779,1
15045,2,24,315,1
10687,88,25,299,1
138988,27,4,10573,1
49978,58,27,8252,1
236206,54,32,6536,1
108360,-6,3,3067,1
138045,57,10,6515,1
69388,6,33,7083,1
145552,84,27,158,1
27628,87,19,5973,1
9957,10,9,626,1
37531,43,33,9635,1
235312,30,49,7705,1
207535,28,36,840,1
56874,-6,35,3539,1
17999,0,10,7921,1
234640,75,14,6979,1
46781,16,23,1457,1
10868,71,11,6538,1
141717,74,36,5622,1
108009,55,31,4366,1
210909,81,20,7991,1
226417,93,17,10429,1
31445,89,33,3369,1
79175,8,2,3508,1
93215,80,7,5305,1
131113,53,48,6782,1
26835,100,4,1733,1
60046,45,31,1522,1
200999,41,27,3866,1
17831,74,14,794,1
59744,29,21,8856,1
232979,24,33,4625,1
171850,47,23,-335,1
42111,56,25,7032,1
80875,4,24,431,1
54126,82,47,3951,1
221445,52,33,8391,1
185658,17,31,644,1
111881,43,34,1133,1
138657,86,6,10758,1
222307,51,36,4247,1
71219,37,51,1506,1
53370,89,39,-764,1
78619,3,36,7972,1
219244,85,0,714,1
